Username,CreatedAt,AvatarUrl,Id,Contributions,JavaScript,Python,Java,C#,PHP,TypeScript,Ruby,C++,C,Swift,Go,Shell,Kotlin,Rust,PowerShell,Objective-C,R,MATLAB,Dart,Vue,Assembly,Sass,CSS,HTML,Pascal,Racket,Zig,Other
mojombo,2007-10-20T05:24:19Z,https://avatars.githubusercontent.com/u/1?v=4,1,79,1971706,0,0,0,0,2566242,928419,0,0,0,0,8071,0,0,0,0,0,0,0,0,0,0,7758,17442,0,0,0,240167
defunkt,2007-10-20T05:24:19Z,https://avatars.githubusercontent.com/u/2?u=7675c0370b7876d71d1ee9b250b540fe1be28f23&v=4,1,1,4609687,0,0,0,0,0,470103,0,0,0,358746,47739,0,0,0,0,0,0,0,0,0,0,6399,23938,0,0,0,896415
wycats,2008-01-12T05:38:33Z,https://avatars.githubusercontent.com/u/4?v=4,2,358,3378185,0,0,0,0,2687760,952,0,0,0,0,2309,0,0,0,0,0,0,0,0,0,0,21641,441513,0,0,0,3060
brynary,2008-01-13T10:19:47Z,https://avatars.githubusercontent.com/u/19?u=ce5037f7436cef328289631a36dd76dcb1e2f973&v=4,2,3485,11661,0,0,0,0,0,951748,0,0,0,0,9178,0,0,0,0,0,0,0,0,0,0,0,17954,0,0,0,3142
kevinclark,2008-01-13T18:33:26Z,https://avatars.githubusercontent.com/u/20?v=4,2,18,0,0,0,0,0,0,43311,4285,0,0,0,91565,0,42265,0,0,0,0,0,0,0,0,0,0,0,0,0,8688
technoweenie,2008-01-14T04:33:35Z,https://avatars.githubusercontent.com/u/21?u=e71f27838562042c2cc9d9f87b40e80a365d5ba2&v=4,1,1,0,0,0,0,0,0,326486,0,0,0,1419122,769916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37977
macournoyer,2008-01-14T10:49:35Z,https://avatars.githubusercontent.com/u/22?v=4,1,366,148,0,63148,0,0,0,959258,0,125724,0,0,1508,0,0,0,0,0,0,0,0,0,0,2210,20416,0,0,0,33416
caged,2008-01-15T04:47:24Z,https://avatars.githubusercontent.com/u/25?u=d32693771ae3ac996287a8ab0700e784acdbbe8c&v=4,2,417,77149,0,0,0,0,2569,1863,0,0,0,0,3832,0,0,0,0,0,0,0,0,0,0,59,408,0,0,0,48545
topfunky,2008-01-15T05:40:05Z,https://avatars.githubusercontent.com/u/26?u=fd35cfe4e635388710c9e186ac206986db798656&v=4,1,420,0,0,0,0,0,0,311121,0,0,0,0,2016,0,0,0,0,47740,0,0,0,0,0,0,83774,0,0,0,655
lukas,2008-01-15T12:50:02Z,https://avatars.githubusercontent.com/u/29?u=51f9479a7a7b6c532522af11ef6018a3c16157fa&v=4,1,5,6899,150892,0,0,0,0,20525,0,0,0,0,2290,0,0,0,0,0,0,0,0,0,0,205,4962,0,0,0,636409
napcs,2008-02-27T23:36:36Z,https://avatars.githubusercontent.com/u/1306?v=4,1,340,653206,58028,0,0,0,0,72744,0,0,0,15904,101290,0,0,0,0,0,0,0,0,0,0,53240,2536,0,0,0,7987515
dyokomizo,2008-02-27T23:38:19Z,https://avatars.githubusercontent.com/u/1310?u=ce288ec988e33994772aed118664794c62808bb5&v=4,2,21,0,0,24236,0,0,0,0,0,0,0,0,4601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53156
benhiller,2008-02-27T23:40:43Z,https://avatars.githubusercontent.com/u/1312?v=4,1,738,161632,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10457,1554,0,0,0,26
michaelmelanson,2008-02-27T23:46:31Z,https://avatars.githubusercontent.com/u/1318?u=20adb05a9d644eca69ddb0ac561e6912c3169df4&v=4,1,537,0,0,0,0,0,0,0,0,631,0,0,0,0,364782,0,0,0,0,0,0,3473,0,0,0,0,0,0,2412
aggieben,2008-02-27T23:54:51Z,https://avatars.githubusercontent.com/u/1321?v=4,1,2190,0,0,0,482754,0,0,0,0,0,0,0,49669,0,0,3150,0,0,0,0,0,0,0,0,0,0,0,0,2897487
thibaudgg,2008-02-27T23:55:26Z,https://avatars.githubusercontent.com/u/1322?v=4,2,1686,0,0,0,0,0,0,18926,0,77611,0,0,0,0,0,0,508,0,0,0,0,0,0,792,6123,0,0,0,0
